,COD_Munic,TX_PIB,TX_PER,PIB_21,PER_21
4342,4202131,-0.9307837073322833,-1.5027867329040712,196838.491,30823.44
4343,4202156,0.31588618844219374,0.05224543258466885,57645.1,21255.57
4344,4202206,4.3851897397664485,3.076992331124301,470066.363,39514.66
4345,4202305,1.400126270435953,-0.3758778211040481,2669787.664,37884.91
4346,4202404,-0.7842379460929916,-2.3656047974363323,20576440.199,56155.65
4347,4202438,2.001680985313803,1.4252157478510108,135890.669,38814.82
4348,4202453,4.348534531182924,0.8263906292742484,877305.851,41998.46
4349,4202503,7.283331038026603,6.46770877878971,371640.813,77409.04
4350,4202537,3.4054278825868423,1.4905503671647669,160196.361,51609.65
4351,4202578,-7.7043110703802045,-7.721799151758652,73694.766,34501.29
4352,4202602,1.7933657460655006,0.613355229388296,422318.662,41595.46
4353,4202701,6.686955135950157,4.931635445834715,430570.417,79794.37
4354,4202800,4.454215291095731,2.901114963321599,1744713.445,50875.18
4355,4202859,-2.305322566546497,-3.1646279901929084,250118.288,65924.69
4356,4202875,2.1917277134992528,4.116960086237081,137952.173,59513.45
4357,4202909,1.5078227894799179,-1.163208019842804,8723258.75,62044.42
4358,4203006,2.497155531343831,1.3536248049828836,4702908.394,58773.87
4359,4203105,4.236631685873049,4.401928585523896,316744.305,51823.35
4360,4203154,-0.9250116653135743,-0.7579506551127213,97684.978,29378.94
4361,4203204,5.120556997946579,2.000770137858243,2242100.065,25718.35
4362,4203253,5.355130956645287,6.378780455478417,235011.519,95262.07
4363,4203303,4.123022623669748,3.9399003338103924,699635.914,58375.96
4364,4203402,2.139836981708587,2.9132646054950917,333003.371,48338.42
4365,4203501,-0.6905347949119012,0.4258971749602103,437779.869,52668.42
4366,4203600,-0.7656106098636539,-1.8421521687914721,2610110.761,70809.55
4367,4203709,-0.5510326902839813,-2.120268394324021,295595.631,23547.81
4368,4203808,-0.2973594513654976,-0.6055956275826946,2202872.923,40376.72
4369,4203907,1.4528361523771238,0.41760968384836894,1070600.654,46110.8
4370,4203956,-1.7049071558294715,-3.205184626329366,1348473.024,52929.03
4371,4204004,2.6514831903455827,1.254704879866464,530828.218,47796.53
